Video,Quality,Video Bytes Downloaded,Loaded Percentage,Eid,Date,Time
9jrP7460a4o,hd2160,0,0,14augs,14/08/2022,17:25:41
9jrP7460a4o,hd2160,0.084717438,8.5,14augs,14/08/2022,17:25:53
9jrP7460a4o,hd2160,0.101660925,10.2,14augs,14/08/2022,17:25:54
9jrP7460a4o,hd2160,0.101660925,10.2,14augs,14/08/2022,17:25:55
9jrP7460a4o,hd2160,0.101660925,10.2,14augs,14/08/2022,17:25:56
9jrP7460a4o,hd2160,0.101660925,10.2,14augs,14/08/2022,17:25:57
9jrP7460a4o,hd2160,0.101660925,10.2,14augs,14/08/2022,17:25:58
9jrP7460a4o,hd2160,0.101660925,10.2,14augs,14/08/2022,17:25:59
9jrP7460a4o,hd2160,0.112118234,11.2,14augs,14/08/2022,17:26:00
9jrP7460a4o,hd2160,0.079290227,7.9,14augs,14/08/2022,17:25:52
9jrP7460a4o,hd2160,0.079290227,7.9,14augs,14/08/2022,17:25:51
9jrP7460a4o,hd2160,0.079290227,7.9,14augs,14/08/2022,17:25:50
9jrP7460a4o,hd2160,0.020252762,2,14augs,14/08/2022,17:25:42
9jrP7460a4o,hd2160,0.037063879,3.7,14augs,14/08/2022,17:25:43
9jrP7460a4o,hd2160,0.053610253,5.4,14augs,14/08/2022,17:25:44
9jrP7460a4o,hd2160,0.06777395,6.8,14augs,14/08/2022,17:25:45
9jrP7460a4o,hd2160,0.06777395,6.8,14augs,14/08/2022,17:25:46
9jrP7460a4o,hd2160,0.06777395,6.8,14augs,14/08/2022,17:25:47
9jrP7460a4o,hd2160,0.06777395,6.8,14augs,14/08/2022,17:25:48
9jrP7460a4o,hd2160,0.079290227,7.9,14augs,14/08/2022,17:25:49
9jrP7460a4o,hd2160,0.112118234,11.2,14augs,14/08/2022,17:26:01
9jrP7460a4o,hd2160,0.112250605,11.2,14augs,14/08/2022,17:26:02
9jrP7460a4o,hd2160,0.118604413,11.9,14augs,14/08/2022,17:26:03
9jrP7460a4o,hd2160,0.165860858,16.6,14augs,14/08/2022,17:26:15
9jrP7460a4o,hd2160,0.165860858,16.6,14augs,14/08/2022,17:26:16
9jrP7460a4o,hd2160,0.165860858,16.6,14augs,14/08/2022,17:26:17
9jrP7460a4o,hd2160,0.169434875,16.9,14augs,14/08/2022,17:26:18
9jrP7460a4o,hd2160,0.169434875,16.9,14augs,14/08/2022,17:26:19
9jrP7460a4o,hd2160,0.183069088,18.3,14augs,14/08/2022,17:26:20
