Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid,scenario,tech,target_buffer
"
",,,,,,,,,,,,,,,,,,,14augs,Outdoor,4G,1
"
2022.08.14_17.18.49",7.042794,43.618616,4G,LTE,-106,-14,1.0,10,-107,0,0,187,187,I,LOG START,,,,14augs,Outdoor,4G,1
"
2022.08.14_17.18.50",7.042827,43.618626,4G,LTE,-106,-14,1.0,10,-107,0,0,187,187,I,PERIODIC,,,,14augs,Outdoor,4G,0
"
",,,,,,,,,,,,,,,,,,,28airport5g,Outdoor,4G,1
"
2022.09.28_12.04.47",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,10,-,0.0,0.0,56.0,56.0,I,LOG START,-111.0,-16.0,-3.0,28airport5g,Outdoor,4G,1
"
2022.09.28_12.04.47",7.214106,43.66486,5G,5G,-116.0,-18.0,-4.0,10,-,0.0,0.0,56.0,56.0,I,PERIODIC,-111.0,-16.0,-3.0,28airport5g,Outdoor,4G,0
"
",,,,,,,,,,,,,,,,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.11",-4.320717,38.653488,4G,LTE,-97.0,-6,14.0,13,-99,0.0,0.0,0.0,0.0,I,LOG START,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.11",-4.320717,38.653488,4G,LTE,-97.0,-6,14.0,13,-99,1.0,10.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.12",-4.320717,38.653488,4G,LTE,-97.0,-6,14.0,13,-101,0.0,0.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.13",-4.320717,38.653488,4G,LTE,-105.0,-7,13.0,12,-105,0.0,0.0,0.0,0.0,I,PERIODIC,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.14",-4.320717,38.653488,4G,LTE,-105.0,-7,13.0,12,-105,12.0,7.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.15",-4.320717,38.653488,4G,LTE,-108.0,-6,14.0,7,-57,56.0,37.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.16",-4.320717,38.653488,4G,LTE,-108.0,-6,14.0,7,-57,113.0,3.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.17",-4.320717,38.653488,4G,LTE,-107.0,-6,11.0,8,-53,1.0,7.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,0
"
2022.09.28_17.51.18",-4.320717,38.653488,4G,LTE,-107.0,-6,11.0,8,-53,14.0,24.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,1
"
2022.09.28_17.51.19",-4.320717,38.653488,4G,LTE,-106.0,-7,14.0,8,-53,2846.0,77.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,0
"
2022.09.28_17.51.20",-4.320717,38.653488,4G,LTE,-106.0,-7,14.0,8,-53,2.0,6.0,0.0,0.0,D,PERIODIC,,,,4spain,Outdoor,4G,0
